source,section,subsection,type,content,tags,weight
binary,BINARY CHEAT SHEET,,command,"BINARY BASICS
Base: 2
Digits: 0, 1
1 bit = a single binary digit
4 bits = 1 nibble
8 bits = 1 byte
POSITION VALUES (RIGHT TO LEFT)
Bit positions:  ... 5  4  3  2  1  0
Powers of 2:    ...32 16  8  4  2  1
BINARY → DECIMAL
Multiply each bit by its power of 2 and add.
Example:
Binary: 1011
= 1*8 + 0*4 + 1*2 + 1*1
= 11
DECIMAL → BINARY
Divide by 2 repeatedly OR subtract highest powers of 2.
Example:
Decimal: 13
13 = 8 + 4 + 1
Binary: 1101
BINARY ↔ HEXADECIMAL
1 hex digit = 4 bits
Hex to Binary:
0 = 0000
1 = 0001
2 = 0010
3 = 0011
4 = 0100
5 = 0101
6 = 0110
7 = 0111
8 = 1000
9 = 1001
A = 1010
B = 1011
C = 1100
D = 1101
E = 1110
F = 1111
Binary to Hex:
Group bits in sets of 4 from the right.
Example:
Binary: 11010111
Groups: 1101 0111
Hex: D7
COMMON BINARY SIZES
8 bits  = 1 byte
16 bits = 2 bytes
32 bits = 4 bytes
64 bits = 8 bytes
SIGNED INTEGERS (TWO'S COMPLEMENT)
Most significant bit (leftmost) = sign bit
0 = positive
1 = negative
To negate a number:
1) Invert bits
2) Add 1
Example:
00000101 = +5
Invert: 11111010
Add 1: 11111011 = -5
BITWISE OPERATIONS","subnet,subnetting,cidr,mask,vlsm,prefix,ip,network,binary,decimal,convert,bits,octet,position,value,hex,binari,cheat,sheet,basics,basic,base,digits,digit,bit,single,singl,nibble,nibbl,byte,posit,values,valu,right,left,positions,powers,power,decim,multiply,multipli,add,create,new,useradd,adduser,install,join,make,example,exampl,divide,divid,repeatedly,repeatedli,subtract,highest,hexadecimal,hexadecim,group,groups,groupadd,groupmod,groupdel,member,membership,security group,sets,set,d7,common,sizes,size,bytes,signed,sign,integers,integ,integer,complement,significant,signific,leftmost,positive,negative,neg,negate,negat,number,invert,bitwise,bitwis,operations,oper,operation,binary decimal,binary binary,bits byte,decimal binary,powers of,binary to,of example,power of",0.6456
binary,AND (&):,,command,"1 AND 1 = 1, else 0
OR (|):
1 OR 1 = 1, 1 OR 0 = 1, else 0
XOR (^):
1 XOR 0 = 1, 0 XOR 1 = 1, else 0
NOT (~):
Flips all bits
Left Shift (<<):
Moves bits left, fills with 0
Right Shift (>>):
Moves bits right, fills with sign bit (arithmetic) or 0 (logical)
ASCII QUICK REFERENCE (DEC → CHAR)
32 = space
48 = 0
49 = 1
50 = 2
51 = 3
52 = 4
53 = 5
54 = 6
55 = 7
56 = 8
57 = 9
65 = A
66 = B
67 = C
68 = D
69 = E
70 = F
97 = a
98 = b
99 = c
100 = d
101 = e
102 = f
END OF CHEAT SHEET","else,els,xor,flips,flip,bits,bit,left,shift,moves,move,fills,fill,right,sign,arithmetic,arithmet,logical,logic,ascii,quick,reference,refer,dec,char,space,end,cheat,sheet,or or,or or or,and and,end of,quick reference,cheat sheet",0.7824
cisco cheat sheet,Cisco Cheat Sheet,Basic Modes,command,"# User EXEC mode (limited commands)
Router> enable      # go to Privileged EXEC mode
# Privileged EXEC mode
Router# configure terminal   # enter Global Configuration mode
# Global Configuration mode
Router(config)# hostname R1  # change router name
Router(config)# exit          # go back to previous mode","cisco,router,switch,networking,commands,ios,cheat,sheet,basic,modes,mode,user,users,account,useradd,adduser,userdel,usermod,person,login,new-aduser,exec,limited,limit,command,enable,activate,allow,permit,start,enabl,go,privileged,privileg,configure,config,setup,set,customise,customize,edit,change,configur,terminal,termin,enter,global,configuration,hostname,hostnam,r1,chang,name,exit,previous,previou,exec mode,mode router,router config,global configuration,global configuration mode,configuration mode,privileged exec,privileged exec mode",0.7521
cisco cheat sheet,Cisco Cheat Sheet,Interfaces,command,"# View interfaces
show ip interface brief
show running-config
# Configure interface
interface FastEthernet0/0
ip address 192.168.1.1 255.255.255.0
no shutdown
# Exit interface config
exit","cisco,router,switch,networking,commands,ios,cheat,sheet,interfaces,interfac,interface,fastethernet,gigabit,fa,gi,eth,port,nic,int,view,show,display,list,check,get,verify,print,ip,address,subnet,cidr,host,network,dhcp,ipv4,brief,running-config,configure,config,setup,set,customise,customize,edit,change,configur,fastethernet0,ethernet0,shutdown,exit,configure interface,fastethernet0 ip,interface fastethernet0 ip,interface brief show,interface config,interface fastethernet0,interfaces show,exit interface",0.74
cisco cheat sheet,Cisco Cheat Sheet,Routing,command,"# Static route
ip route 192.168.2.0 255.255.255.0 192.168.1.2
# Default route
ip route 0.0.0.0 0.0.0.0 192.168.1.2
# View routing table
show ip route","cisco,router,switch,networking,commands,ios,routing,route,ospf,rip,static,dynamic,table,default,gateway,cheat,sheet,rout,ip,address,subnet,cidr,host,network,dhcp,ipv4,view,tabl,show,display,list,check,get,verify,print,ip route,default route,route ip,route ip route,ip route view,route view,static route ip,view routing,view routing table",0.7531
cisco cheat sheet,Cisco Cheat Sheet,Switch Configuration,command,"# Configure VLAN
vlan 10
name Sales
exit
# Assign port to VLAN
interface FastEthernet0/1
switchport mode access
switchport access vlan 10
no shutdown
exit","cisco,router,switch,networking,commands,ios,cheat,sheet,configuration,configur,configure,config,setup,set,customise,customize,edit,change,vlan,trunk,access,switchport,lan,virtual,network,name,sales,sale,exit,assign,port,interface,fastethernet,gigabit,fa,gi,eth,nic,int,interfac,fastethernet0,ethernet0,shutdown,vlan access,assign port,assign port to,port to vlan,to vlan interface,name sales,vlan name sales,port to,interface fastethernet0",0.7696
cisco cheat sheet,Cisco Cheat Sheet,Password & Security,command,"# Set enable password
enable secret cisco123
# Set console password
line console 0
password cisco123
login
exit
# Set VTY (Telnet/SSH) password
line vty 0 4
password cisco
login
exit","linux,unix,bash,shell,dnf,rpm,sudo,rocky,redhat,rhel,windows,server,win,microsoft,ad,domain,active directory,password,passwd,chage,secret,credentials,pass,pwd,expire,lock,disable,block,usermod,prevent,deactivate,aging,policy,cisco,router,switch,networking,commands,ios,cheat,sheet,security,secur,enable,activate,allow,permit,start,enabl,cisco123,console,consol,login,exit,vty,vti,telnet,ssh,secure,remote,crypto,rsa,transport,ssh vty,console password,password line,cisco login,line console password,password cisco login,cisco123 set,cisco123 set console,enable password",0.7524
cisco cheat sheet,Cisco Cheat Sheet,Testing & Troubleshooting,command,"# Ping another device
ping 192.168.1.2
# Trace route
traceroute 192.168.1.2
# Show ARP table
show arp
# Show CDP neighbors (connected devices)
show cdp neighbors","cisco,router,switch,networking,commands,ios,cheat,sheet,testing,test,troubleshooting,troubleshoot,ping,another,anoth,device,devic,trace,route,rout,traceroute,tracerout,show,display,list,view,check,get,verify,print,arp,table,tabl,cdp,neighbors,neighbor,connected,connect,devices,show arp,cdp neighbors,show cdp neighbors,show cdp,arp table show,arp table,trace route,table show",0.7932
cisco cheat sheet,Cisco Cheat Sheet,Saving Configuration,command,"# Save running config to startup config
copy running-config startup-config
write memory   # shortcut","cisco,router,switch,networking,commands,ios,cheat,sheet,saving,save,configuration,configur,running,run,config,startup,copy,copi,running-config,startup-config,write,memory,memori,shortcut,configuration save,memory shortcut,running config,write memory shortcut,write memory,config to,copy running-config,copy running-config startup-config",0.7882
cisco cheat sheet,Cisco Cheat Sheet,Helpful Shortcuts,command,"# Exit to previous mode
exit
# Cancel current command","cisco,router,switch,networking,commands,ios,cheat,sheet,helpful,help,shortcuts,shortcut,exit,previous,previou,cancel,current,command,to previous,cisco cheat,cisco cheat sheet,cheat sheet",0.8371
cisco cheat sheet,Cisco Cheat Sheet,Ctrl+C,command,"# Show interface status quickly
show ip interface brief
# Reload device (reset router/switch)
reload","cisco,router,switch,networking,commands,ios,cheat,sheet,ctrl,show,display,list,view,check,get,verify,print,interface,fastethernet,gigabit,fa,gi,eth,port,nic,int,interfac,status,statu,quickly,quickli,ip,address,subnet,cidr,host,network,dhcp,ipv4,brief,reload,device,devic,reset,show interface,interface status,router switch,cisco cheat,cisco cheat sheet,interface brief,ip interface brief,show ip interface",0.7368
cisco cheat sheet,Cisco Cheat Sheet,1. Enter Privileged EXEC Mode,command,"Router> enable
This gives you access to configuration commands (# prompt).","cisco,router,switch,networking,commands,ios,cheat,sheet,enter,privileged,privileg,exec,enable,activate,allow,permit,start,enabl,gives,give,access,configuration,configur,command,prompt,access to,enter privileged,enter privileged exec,mode router,exec mode,privileged exec,privileged exec mode,cisco cheat",0.8101
cisco cheat sheet,Cisco Cheat Sheet,2. Enter Global Configuration Mode,command,"Router# configure terminal
Router(config)#","cisco,router,switch,networking,commands,ios,cheat,sheet,enter,global,configuration,configur,configure,config,setup,set,customise,customize,edit,change,terminal,termin,mode router,router config,enter global,enter global configuration,global configuration,global configuration mode,configuration mode,configure terminal",0.8316
cisco cheat sheet,Cisco Cheat Sheet,3. Set Hostname,command,"Router(config)# hostname R1
Changes the router’s name to R1 (or whatever you choose).","cisco,router,switch,networking,commands,ios,cheat,sheet,hostname,hostnam,config,r1,changes,chang,change,name,whatever,whatev,choose,choos,router config,config hostname,hostname r1,set hostname,the router,cisco cheat,cisco cheat sheet,cheat sheet",0.793
cisco cheat sheet,Cisco Cheat Sheet,4. Configure Passwords,command,"# Enable secret password (for privileged mode)
R1(config)# enable secret cisco123
# Console password (for physical access)
R1(config)# line console 0
R1(config-line)# password cisco123
R1(config-line)# login
R1(config-line)# exit
# VTY (Telnet/SSH) password (for remote access)
R1(config)# line vty 0 4
R1(config-line)# password cisco123
R1(config-line)# login
R1(config-line)# exit","linux,unix,bash,shell,dnf,rpm,sudo,rocky,redhat,rhel,windows,server,win,microsoft,ad,domain,active directory,password,passwd,chage,secret,credentials,pass,pwd,expire,lock,disable,block,usermod,prevent,deactivate,aging,policy,cisco,router,switch,networking,commands,ios,cheat,sheet,configure,config,setup,set,customise,customize,edit,change,configur,passwords,enable,activate,allow,permit,start,enabl,privileged,privileg,r1,cisco123,console,consol,physical,physic,access,config-line,config-lin,login,exit,vty,vti,telnet,ssh,secure,remote,crypto,rsa,transport,remot,ssh vty,password for,r1 config,password cisco123,enable secret,enable secret password,for remote,ssh password,telnet ssh password",0.7518
